1,UL,Garret Anderson,Angels,210,'05,11,12,CF+1,L,,-,1-2,3-5,6-7,8-9,10-17,-,18-19,-,20+
2,UL,David Eckstein,Angels,90,'05,10,15,SS+1,R,,-,1-,2-4,5-6,7-9,10-17,18-,19-20,-,21+
3,UL,Darin Erstad,Angels,170,'05,10,15,1B+1,L,G,-,1-,2-4,5-6,7-9,10-16,17-,18-19,-,20+
4,UL,Chone Figgins,Angels,180,'05,10,21,IF+1 CF+1,S,,-,1-,2-3,4-5,6-8,9-14,15-17,18-,19-,20+
5,UL,Troy Glaus,Angels,260,'05,10,10,3B+1,R,,-,1-2,3-4,5-6,7-11,12-15,-,16-17,-,18+
6,UL,Kevin Gregg,Angels,130,'05,3,2,Reliever,R,,1-2,3-7,8-13,14-16,17-,18-19,-,20-25,-,26+
7,UL,Vladimir Guerrero,Angels,640,'05,12,15,LF-RF+2,R,V S,-,1-,2-3,4-6,7-9,10-15,16-,17-18,-,19+
8,UL,Jose Guillen,Angels,310,'05,10,11,LF-RF+1,R,,-,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
9,UL,Adam Kennedy,Angels,190,'05,10,15,2B+1,L,,-,1-2,3-4,5-6,7-9,10-16,17-,18-19,-,20+
10,UL,Troy Percival,Angels,190,'05,4,1,Closer,R,,1-4,5-8,9-13,14-16,17-,18-21,-,22-23,-,24+
11,UL,Francisco Rodriguez,Angels,250,'05,5,1,Closer,R,,1-2,3-10,11-15,16-17,18-,19-23,-,24-27,-,28+
12,UL,Tim Salmon,Angels,10,'05,9,9,DH,R,,-,1-2,3-4,5-7,8-10,11-18,-,19-20,-,21+
13,UL,Danny Bautista,Diamondbacks,260,'05,10,12,LF-RF+1,R,,-,1-,2-3,4-5,6-8,9-17,-,18-19,-,20+
14,UL,Alex Cintron,Diamondbacks,60,'05,9,14,SS+2,S,,-,1-,2-4,5-7,8-9,10-17,-,18-19,20-,21+
15,UL,Luis Gonzalez,Diamondbacks,90,'05,11,10,LF-RF+0,L,,-,1-,2-4,5-7,8-13,14-17,-,18-19,-,20+
16,UL,Scott Hairston,Diamondbacks,290,'05,9,12,2B+2,R,R,-,1-2,3-,4-5,6-8,9-15,-,16-17,18-,19+
17,UL,Shea Hillenbrand,Diamondbacks,340,'05,11,10,1B+1,R,,-,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
18,UL,Randy Johnson,Diamondbacks,600,'05,6,8,Starter,L,K,1-2,3-9,10-13,14-16,17-,18-20,-,21-25,-,26+
19,UL,Mike Koplove,Diamondbacks,120,'05,2,1,Reliever,R,,1-3,4-7,8-15,16-17,18-,19-22,-,23-25,-,26+
20,UL,Chad Tracy,Diamondbacks,230,'05,10,10,3B+3,L,R,-,1-,2-3,4-6,7-9,10-16,-,17-19,-,20+
21,UL,Brandon Webb,Diamondbacks,200,'05,2,6,Starter,R,,-,1-4,5-13,14-15,16-17,18-19,-,20-25,-,26+
22,UL,Antonio Alfonseca,Braves,160,'05,3,1,Reliever,R,,1-2,3-5,6-14,15-16,17-18,19-22,-,23-25,-,26+
23,UL,J.D. Drew,Braves,580,'05,14,13,LF-RF+1,L,,-,1-2,3-4,5-6,7-12,13-15,16-17,18-,-,19+
24,UL,Johnny Estrada,Braves,360,'05,11,8,C+4,S,S,-,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
25,UL,Julio Franco,Braves,180,'05,11,10,1B+1,R,,-,1-2,3-5,6-,7-10,11-17,-,18-19,-,20+
26,UL,Rafael Furcal,Braves,240,'05,10,20,SS+4,S,,-,1-,2-4,5-6,7-10,11-15,16-17,18-19,-,20+
27,UL,Marcus Giles,Braves,310,'05,11,16,2B+4,R,,-,1-2,3-4,5-6,7-9,10-16,17-,18-19,-,20+
